Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
わかった,0.718,0.1761,0.1761,0.1761,0.0556,0.9358,0
わから,0.1154,1.3632,0.4877,0.5749,0.4877,0.3239,0.0192
一,0.4918,1.0133,0.8644,0.4057,0.3232,0.4918,0.6731
一番,0,0,0.0769,0,0.9942,0.2438,0.9942
一緒に,0.3,0.0453,0.0453,0.0857,1.0923,0.1327,2.4914
万,0.913,0.1378,0.5619,0,0.0435,0.7324,0.1378
三,0.9232,0.0714,0.2264,0,0,0.4286,0.4286
上,0.1023,0.0323,1.2721,1.2721,0.1935,0.1935,0
上がった,0.0833,0.5,0.0833,0,0,1.0771,0.2642
上司,0.1956,0.1117,1.5353,1.8299,1.8631,0.1737,0
上手く,0.4286,0.9232,0.0714,0,0.0714,0,0.6634
下,0.0714,0.0714,0.0714,0.4286,0.6634,0.2264,0.2264
不倫,0,0,0.0833,3.2862,0,0,0
不安,0.0417,7.968,0,0,0.03,0.0032,0
不安だ,0,4.3269,0,0,0.0435,0,0
不安だった,0,5,0,0,0,0,0
不安である,0,3.7004,0,0,0,0,0
不安です,0,4.8074,0,0,0,0,0
不安な,0,3.0935,0,0,0.375,0,0
不安に,0,6.3663,0,0,0,0,0.0345
不良,0.4888,2.0755,0.3158,0,0.0526,0,0
世の中,0.1761,0.3333,0.718,0.516,0.1761,0.1761,0
世界,0,1.0771,0.5,0.0833,0,0.0833,0.2642
世話,0.8422,0.05,0.05,0,1.9717,0,0.05
両親,1.6575,0.6364,0.0961,0.0961,0.5104,0,0.0961
中,0.321,0.5621,0.2132,2.4579,0.1636,0.2658,0.1176
中学,0.6634,0.0714,0,0,0.2264,0.4286,0.6634
主人,0.5979,0.2585,0.42,0.1858,1.4178,0.12,0.2585
久しぶりに,0.2439,0.0189,0,0.0189,0.5641,0.1752,3.1677
乗って,0,0.1093,0.5808,0.3203,1.3598,0.4457,0.0345
乗り,0.2113,0.0667,0.6192,0.2113,0.4,0.0667,0.2113
予報,0.0909,0.2882,0.0909,0,0.5455,0.8443,0
予定,0.8793,0.3801,0.4954,0.0932,0.0932,0.1765,0.6176
予想,0.5805,0.0625,0.0625,0,0.5805,0.5805,0.1981
事,0.8979,0.6022,0.9949,0.6022,0.8979,1.1265,0.9949
事件,0.7387,0.0896,1.9373,1.058,0,0.2514,0.0149
事故,1.7917,0.7173,0.8696,0.087,0.0459,0.5014,0
二,0.517,0.04,0.24,0.3715,0.1268,1.0144,0.1268
亡くなった,6.6907,0.0182,0.0057,0.0182,0.0182,0.1457,0
亡くなり,3.2862,0.0833,0,0,0,0,0
交通,1.1053,0.1668,0.6803,0.4888,0,0.0526,0
京都,0.0909,0.0909,0,0,0.0909,0.5455,1.175
人,0.4082,0.1511,1.1593,3.2334,1.015,1.0868,0.2293
人生,0.0769,1.9507,0,0,0,0.4615,0.0769
人間,0.3063,0.3063,0.9945,1.1891,0.717,0.0576,0
今,0.2625,1.1706,0.2106,0.1616,0.75,0.2106,1.0981
今年,0.4787,0.6239,0,0,0.1174,1.2813,0.344
今後,0,5.0645,0,0,0.0704,0,0.0222
今日,0.375,0.1981,0.375,0.5805,0,0.5805,0
介護,0.2732,1.9235,0.3801,0.0294,0.3801,0.0294,0.0932
仕事,0.5362,1.9673,0.9501,0.3931,2.3542,0.2385,0.4146
仕事場,0.4286,0.2264,0.2264,0.4286,0.6634,0,0
他人,0.2222,0.037,0.7778,2.4222,0,0,0
他界,3.585,0,0,0,0,0,0
付き,0.0909,0.5455,0.2882,0.0909,0.0909,0.5455,0
付き合い,0,0.375,0.0625,0.0625,1.585,0.0625,0.1981
代表,0.1981,0,0.0625,0.1981,0.0625,1.585,0.1981
以前,0.4,0.0667,0.0667,0,0.6192,0.2113,0.6192
仲,1.05,0.05,0,0.05,0.6462,0.1585,0.4644
仲間,0.0909,0,0.0909,0.1958,2.8415,0.0152,1.1585
件,0.0625,0.1981,0.375,0.5805,0.0625,0.5805,0.0625
任さ,0,0.1865,0,0.0588,2.9115,0.0588,0
任せ,0.0909,0,0,0,3.1449,0,0
休み,0.4971,0.1219,0.0385,0.0385,0.3572,0.0385,1.7079
休日,0.25,0.0417,0.1321,0.1321,0,0.0417,2.5
休止,0.4,0.0667,0,0,0.2113,1.9932,0
会,0.0972,0.1907,1.0699,0.4511,0.2601,0.2965,2.4015
会った,0.3096,0,0,0.3096,0.7,1.3145,0.3096
会って,0,0,0,0.0769,0.4615,0.2438,1.6154
会社,0.541,1.173,1.1396,0.975,0.9104,0.3175,0.0627
会話,0.0196,0,0.0622,0.2534,1.1765,0,2.6671
住んで,0.0667,0.0667,0.4,0.0667,0.2113,0.8617,0.2113
住人,0,0.2882,0.0909,1.175,0.0909,0.2882,0
体,0.0813,0.887,0.2381,1.2691,0.0813,0.2381,0.2381
体力,0.5805,1.3125,0.0625,0.0625,0,0.375,0
